,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bilibino,62,RU,1562524979,54,68.06,166.44,56.39,10.87
1,Craigieburn,75,AU,1562524979,93,-37.6,144.94,54.0,8.05
2,Lebu,40,ET,1562524979,77,8.96,38.73,62.6,2.24
3,Shubarshi,16,KZ,1562524711,36,48.59,57.19,77.27,7.18
4,Punta Arenas,90,CL,1562524980,93,-53.16,-70.91,42.8,8.05
5,Hokitika,63,NZ,1562524980,79,-42.72,170.96,46.85,12.39
6,Garissa,93,KE,1562524980,56,-0.46,39.64,79.61,20.11
7,Qaanaaq,100,GL,1562524980,51,77.48,-69.36,47.03,8.86
8,Arraial do Cabo,20,BR,1562524981,56,-22.97,-42.02,69.8,13.87
9,Ponta Delgada,75,PT,1562524921,83,37.73,-25.67,69.8,4.7
10,Ponta do Sol,0,BR,1562524981,31,-20.63,-46.0,66.83,4.0
11,Fairbanks,75,US,1562524962,49,64.84,-147.72,72.0,4.38
12,Pangody,100,RU,1562524981,57,65.85,74.49,60.71,17.09
13,Busselton,11,AU,1562524982,74,-33.64,115.35,53.01,14.14
14,Mataura,100,NZ,1562524982,75,-46.19,168.86,44.01,20.0
15,Hermanus,76,ZA,1562524982,79,-34.42,19.24,57.0,1.99
16,Saint-Philippe,1,CA,1562524982,46,45.36,-73.48,77.0,6.93
17,Constitucion,75,MX,1562524982,36,23.99,-104.67,78.01,12.33
18,Atuona,48,PF,1562524983,77,-9.8,-139.03,79.79,17.36
19,Cam Ranh,20,VN,1562524983,74,11.92,109.15,84.2,3.36
20,Ushuaia,0,AR,1562524983,82,-54.81,-68.31,37.4,5.82
21,Rikitea,100,PF,1562524983,79,-23.12,-134.97,71.69,35.28
22,Araouane,17,ML,1562524983,11,18.9,-3.53,108.95,7.25
23,Albany,75,US,1562524847,39,42.65,-73.75,82.0,8.05
24,Sao Joao da Barra,40,BR,1562524984,49,-21.64,-41.05,71.6,23.04
25,Pangnirtung,90,CA,1562524984,87,66.15,-65.72,48.2,2.24
26,Kodiak,40,US,1562524984,21,39.95,-94.76,86.0,7.2
27,Khatanga,98,RU,1562524984,84,71.98,102.47,43.43,17.45
28,Bredasdorp,73,ZA,1562524709,67,-34.53,20.04,57.2,6.93
29,Hobart,60,AU,1562524985,93,-42.88,147.33,42.01,6.93
